#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
58;U00096.2:1447099-1449373(-);2271;Primary amine oxidase;99.87% [2271/2274];GO:0005507 - copper ion binding|GO:0005509 - calcium ion binding|GO:0006559 - L-phenylalanine catabolic process|GO:0008131 - primary amine oxidase activity|GO:0009308 - amine metabolic process|GO:0019607 - phenylethylamine catabolic process|GO:0042597 - periplasmic space|GO:0048038 - quinone binding|GO:0052593 - tryptamine:oxygen oxidoreductase (deaminating) activity|GO:0052594 - aminoacetone:oxygen oxidoreductase(deaminating) activity|GO:0052595 - aliphatic-amine oxidase activity|GO:0052596 - phenethylamine:oxygen oxidoreductase (deaminating) activity|GO:0055114 - oxidation-reduction process;Threonine degradation|Aromatic Amin Catabolism|Glycine and Serine Utilization|Auxin biosynthesis;Uniprot (P46883)|Interpro (P46883);KEGG (eco:b1386)|KEGG GM (eco:b1386)|KEGG EC (1.4.3.21);Interpro (IPR000269)|Interpro (IPR012854)|Interpro (IPR015798)|Interpro (IPR036460)|Interpro (IPR016182)|Interpro (IPR015800)|Interpro (IPR015802)|Interpro (IPR036582)|Pfam (PF01179)|Pfam (PF07833)|Pfam (PF02727)|Pfam (PF02728);NCBI (991976820)|EMBL (X97453);
59;U00096.2:1480278-1480884(-);603;FMN-dependent NADH-azoreductase;99.50% [603/606];GO:0008752 - FMN reductase activity|GO:0009055 - electron transfer activity|GO:0010181 - FMN binding|GO:0016652 - oxidoreductase activity acting on NAD(P)H NAD(P) as acceptor|GO:0016661 - oxidoreductase activity acting on other nitrogenous compounds as donors;;Uniprot (A7ZZX1)|Interpro (A7ZZX1);KEGG (ecx:EcHS_A1495)|KEGG GM (ecx:EcHS_A1495)|KEGG EC (1.7.1.17);Interpro (IPR003680)|Interpro (IPR029039)|Interpro (IPR023048)|Pfam (PF02525);NCBI (445971095)|EMBL (CP000802);
60;U00096.2:1490493-1492134(+);1638;Methyl-accepting chemotaxis protein III;99.82% [1638/1641];GO:0004888 - transmembrane signaling receptor activity|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0006935 - chemotaxis|GO:0007165 - signal transduction|GO:0042803 - protein homodimerization activity|GO:0098561 - methyl accepting chemotaxis protein complex;Bacterial Chemotaxis;Uniprot (P05704)|Interpro (P05704);KEGG (eco:b1421)|KEGG GM (eco:b1421);Interpro (IPR035440)|Interpro (IPR004090)|Interpro (IPR004091)|Interpro (IPR003660)|Interpro (IPR004089)|Interpro (IPR003122)|Pfam (PF00672)|Pfam (PF00015)|Pfam (PF02203);NCBI (991976854)|EMBL (AP009048);
61;U00096.2:1498596-1499589(+);990;Tellurite resistance protein TehA;99.70% [990/993];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0006812 - cation transport|GO:0042802 - identical protein binding|GO:0046583 - cation efflux transmembrane transporter activity|GO:0046677 - response to antibiotic|GO:0046690 - response to tellurium ion|GO:0055085 - transmembrane transport;Tellurite resistance: Chromosomal determinants;Uniprot (P25396)|Interpro (P25396);KEGG (eco:b1429)|KEGG GM (eco:b1429);Interpro (IPR039264)|Interpro (IPR011552)|Interpro (IPR004695)|Interpro (IPR038665)|Pfam (PF03595);NCBI (827621825)|EMBL (AP009048);
62;U00096.2:1528609-1529663(+);741;Putative transposase YncI;70.30% [741/1054];GO:0003677 - DNA binding|GO:0004803 - transposase activity|GO:0006313 - transposition DNA-mediated;;Uniprot (P76119)|Interpro (P76119);KEGG (ecj:JW1453)|KEGG GM (ecj:JW1453);Interpro (IPR002559)|Interpro (IPR032806)|Pfam (PF01609)|Pfam (PF13808);NCBI (118597383)|EMBL (AP009048);
63;U00096.2:1551995-1553693(-);1695;NAD-dependent malic enzyme;99.82% [1695/1698];GO:0004471 - malate dehydrogenase (decarboxylating) (NAD+) activity|GO:0008948 - oxaloacetate decarboxylase activity|GO:0046872 - metal ion binding|GO:0051287 - NAD binding;;Uniprot (C4ZWP8)|Interpro (C4ZWP8);KEGG (ebw:BWG_1300)|KEGG GM (ebw:BWG_1300)|KEGG EC (1.1.1.38);Interpro (IPR015884)|Interpro (IPR012301)|Interpro (IPR037062)|Interpro (IPR012302)|Interpro (IPR001891)|Interpro (IPR036291)|Interpro (IPR023667)|Pfam (PF00390)|Pfam (PF03949);NCBI (446355621)|EMBL (CP001396);
64;U00096.2:1578865-1580548(-);1680;Uncharacterized sulfatase YdeN;99.82% [1680/1683];GO:0008484 - sulfuric ester hydrolase activity|GO:0030288 - outer membrane-bounded periplasmic space|GO:0046872 - metal ion binding;N-Acetyl-Galactosamine and Galactosamine Utilization;Uniprot (P77318)|Interpro (P77318);KEGG (eco:b1498)|KEGG GM (eco:b1498);Interpro (IPR017850)|Interpro (IPR024607)|Interpro (IPR000917)|Pfam (PF00884);NCBI (991976929)|EMBL (AP009048);
65;U00096.2:1599513-1601049(+);1533;Autoinducer 2 import ATP-binding protein LsrA;99.80% [1533/1536];GO:0005524 - ATP binding|GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane|GO:0042626 - ATPase-coupled transmembrane transporter activity|GO:1905887 - autoinducer AI-2 transmembrane transport;;Uniprot (B1XEA1)|Interpro (B1XEA1);KEGG (ecd:ECDH10B_1644)|KEGG GM (ecd:ECDH10B_1644);Interpro (IPR003593)|Interpro (IPR003439)|Interpro (IPR017871)|Interpro (IPR030281)|Interpro (IPR027417)|Pfam (PF00005);NCBI (447117604)|EMBL (CP000948);
66;U00096.2:1651950-1653165(-);1212;Starvation-sensing protein RspA;99.75% [1212/1215];GO:0009063 - cellular amino acid catabolic process;Carbon Starvation;Uniprot (P38104)|Interpro (P38104);KEGG (eco:b1581)|KEGG GM (eco:b1581)|KEGG EC (4.2.1.8);Interpro (IPR034589)|Interpro (IPR036849)|Interpro (IPR029017)|Interpro (IPR029065)|Interpro (IPR018110)|Interpro (IPR034593)|Interpro (IPR013342)|Interpro (IPR013341)|Pfam (PF13378)|Pfam (PF02746);NCBI (991977011)|EMBL (AP009048);
67;U00096.2:1682282-1683212(+);927;DNA replication terminus site-binding protein;99.68% [927/930];GO:0003677 - DNA binding|GO:0005737 - cytoplasm|GO:0006274 - DNA replication termination;;Uniprot (C4ZY73)|Interpro (C4ZY73);KEGG (ebw:BWG_1425)|KEGG GM (ebw:BWG_1425);Interpro (IPR008865)|Interpro (IPR036381)|Interpro (IPR036384)|Pfam (PF05472);NCBI (446057326)|EMBL (CP001396);
68;U00096.2:1692283-1694095(-);1809;Beta-glucuronidase;99.83% [1809/1812];GO:0004566 - beta-glucuronidase activity|GO:0005829 - cytosol|GO:0019391 - glucuronoside catabolic process|GO:0030246 - carbohydrate binding|GO:0042802 - identical protein binding|GO:0051289 - protein homotetramerization;D-Galacturonate and D-Glucuronate Utilization|beta-glucuronide utilization;Uniprot (P05804)|Interpro (P05804);KEGG (eco:b1617)|KEGG GM (eco:b1617)|KEGG EC (3.2.1.31);Interpro (IPR036156)|Interpro (IPR008979)|Interpro (IPR006101)|Interpro (IPR023232)|Interpro (IPR006103)|Interpro (IPR023230)|Interpro (IPR006102)|Interpro (IPR006104)|Interpro (IPR017853)|Interpro (IPR013783)|Pfam (PF00703)|Pfam (PF02836)|Pfam (PF02837);NCBI (991977047)|EMBL (AP009048);
69;U00096.2:1697378-1698971(+);1590;PTS system maltose-specific EIICB component;99.81% [1590/1593];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0009758 - carbohydrate utilization|GO:0016301 - kinase activity;Maltose and Maltodextrin Utilization;Uniprot (P19642)|Interpro (P19642);KEGG (eco:b1621)|KEGG GM (eco:b1621)|KEGG EC (2.7.1.199);Interpro (IPR036878)|Interpro (IPR018113)|Interpro (IPR003352)|Interpro (IPR013013)|Interpro (IPR001996)|Interpro (IPR011301)|Interpro (IPR004719)|Pfam (PF00367)|Pfam (PF02378);NCBI (1115236312)|EMBL (M28539);
70;U00096.2:1737934-1739146(+);1209;Inner membrane transport protein YdhC;99.75% [1209/1212];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0006855 - drug transmembrane transport|GO:0015238 - xenobiotic transmembrane transporter activity;;Uniprot (P37597)|Interpro (P37597);KEGG (eco:b1660)|KEGG GM (eco:b1660);Interpro (IPR004812)|Interpro (IPR011701)|Interpro (IPR020846)|Interpro (IPR036259)|Pfam (PF07690);NCBI (991977090)|EMBL (AP009048);
71;U00096.2:1751874-1752501(-);624;Uncharacterized ferredoxin-like protein YdhY;99.52% [624/627];GO:0046872 - metal ion binding|GO:0051539 - 4 iron 4 sulfur cluster binding;;Uniprot (P0AAL7)|Interpro (P0AAL7);KEGG (ecs:ECs2381)|KEGG GM (ecs:ECs2381);Interpro (IPR017896)|Interpro (IPR017900)|Pfam (PF13247)|Pfam (PF12800);NCBI (1233693309)|EMBL (BA000007);
72;U00096.2:1787636-1787828(+);189;Uncharacterized protein YdiE;98.44% [189/192];;;Uniprot (P0ACY0)|Interpro (P0ACY0);KEGG (ecs:ECs2412)|KEGG GM (ecs:ECs2412);Interpro (IPR019600)|Pfam (PF10636);NCBI (1233693278)|EMBL (BA000007);
73;U00096.2:1792195-1793176(-);978;Vitamin B12 import system permease protein BtuC;99.69% [978/981];GO:0005886 - plasma membrane|GO:0015889 - cobalamin transport|GO:0016021 - integral component of membrane|GO:0090482 - vitamin transmembrane transporter activity;;Uniprot (B7MAS2)|Interpro (B7MAS2);KEGG (ecz:ECS88_1762)|KEGG GM (ecz:ECS88_1762);Interpro (IPR037294)|Interpro (IPR023691)|Interpro (IPR000522)|Pfam (PF01032);NCBI (446879272)|EMBL (CU928161);
74;U00096.2:1798665-1800594(-);1926;Threonine--tRNA ligase;99.84% [1926/1929];GO:0000049 - tRNA binding|GO:0004829 - threonine-tRNA ligase activity|GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0006435 - threonyl-tRNA aminoacylation|GO:0046872 - metal ion binding;;Uniprot (B7USA2)|Interpro (B7USA2);KEGG (ecg:E2348C_1848)|KEGG GM (ecg:E2348C_1848)|KEGG EC (6.1.1.3);Interpro (IPR002314)|Interpro (IPR006195)|Interpro (IPR004154)|Interpro (IPR036621)|Interpro (IPR012675)|Interpro (IPR004095)|Interpro (IPR012676)|Interpro (IPR002320)|Interpro (IPR018163)|Interpro (IPR033728)|Interpro (IPR012947)|Pfam (PF03129)|Pfam (PF02824)|Pfam (PF00587)|Pfam (PF07973);NCBI (447066946)|EMBL (FM180568);
75;U00096.2:1844988-1846032(-);1041;Selenide water dikinase;99.71% [1041/1044];GO:0000287 - magnesium ion binding|GO:0004756 - selenide water dikinase activity|GO:0005524 - ATP binding|GO:0016260 - selenocysteine biosynthetic process;tRNA modification Bacteria|Selenocysteine metabolism;Uniprot (A8A0V7)|Interpro (A8A0V7);KEGG (ecx:EcHS_A1848)|KEGG GM (ecx:EcHS_A1848)|KEGG EC (2.7.9.3);Interpro (IPR010918)|Interpro (IPR036676)|Interpro (IPR016188)|Interpro (IPR036921)|Interpro (IPR023061)|Interpro (IPR004536)|Pfam (PF00586)|Pfam (PF02769);NCBI (481024227)|EMBL (CP000802);
76;U00096.2:1858279-1859356(-);1074;Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjL;99.72% [1074/1077];GO:0008270 - zinc ion binding|GO:0016491 - oxidoreductase activity;Unknown carbohydrate utilization ( cluster Ydj );Uniprot (P77539)|Interpro (P77539);KEGG (eco:b1776)|KEGG GM (eco:b1776);Interpro (IPR013149)|Interpro (IPR013154)|Interpro (IPR002328)|Interpro (IPR011032)|Interpro (IPR036291)|Pfam (PF08240)|Pfam (PF00107);NCBI (991977206)|EMBL (AP009048);
77;U00096.2:1884887-1886015(-);1122;Ribonuclease D;99.47% [1122/1128];GO:0000166 - nucleotide binding|GO:0000175 - 3'-5'-exoribonuclease activity|GO:0003676 - nucleic acid binding|GO:0005737 - cytoplasm|GO:0033890 - ribonuclease D activity|GO:0042780 - tRNA 3'-end processing;tRNA processing;Uniprot (P09155)|Interpro (P09155);KEGG (eco:b1804)|KEGG GM (eco:b1804)|KEGG EC (3.1.13.5);Interpro (IPR002562)|Interpro (IPR010997)|Interpro (IPR002121)|Interpro (IPR006292)|Interpro (IPR012337)|Interpro (IPR036397)|Pfam (PF01612)|Pfam (PF00570);NCBI (939732782)|EMBL (X70994);
78;U00096.2:1886084-1887770(-);1683;Long-chain-fatty-acid-CoA ligase;99.82% [1683/1686];GO:0016874 - ligase activity;;Uniprot (W1X2C3)|Interpro (W1X2C3);;Interpro (IPR025110)|Interpro (IPR020845)|Interpro (IPR000873)|Interpro (IPR042099)|Pfam (PF00501)|Pfam (PF13193);NCBI (566279165)|EMBL (AZLZ01001587);
79;U00096.2:1888595-1889291(-);693;tRNA threonylcarbamoyladenosine biosynthesis protein TsaB;99.57% [693/696];GO:0002949 - tRNA threonylcarbamoyladenosine modification|GO:0005829 - cytosol|GO:0008237 - metallopeptidase activity|GO:0042802 - identical protein binding;YgjD and YeaZ|YrdC-YciO-Sua5 protein family|Conserved gene cluster associated with Met-tRNA formyltransferase|Bacterial RNA-metabolizing Zn-dependent hydrolases|At5g63420|YjeE|Putative hemin transporter|Ribosome biogenesis bacterial;Uniprot (P76256)|Interpro (P76256);KEGG (eco:b1807)|KEGG GM (eco:b1807);Interpro (IPR000905)|Interpro (IPR022496)|Pfam (PF00814);NCBI (991977235)|EMBL (AP009048);
80;U00096.2:1902824-1903283(+);456;UPF0266 membrane protein YobD;99.35% [456/459];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (A7ZMU2)|Interpro (A7ZMU2);KEGG (ecw:EcE24377A_2048)|KEGG GM (ecw:EcE24377A_2048);Interpro (IPR009328)|Pfam (PF06173);NCBI (752463004)|EMBL (CP000800);
81;U00096.2:1918246-1919686(+);1437;Ribosomal RNA small subunit methyltransferase F;99.79% [1437/1440];GO:0003723 - RNA binding|GO:0005737 - cytoplasm|GO:0008649 - rRNA methyltransferase activity;;Uniprot (A0A0M7PF46)|Interpro (A0A0M7PF46);;Interpro (IPR018314)|Interpro (IPR031341)|Interpro (IPR001678)|Interpro (IPR027391)|Interpro (IPR011023)|Interpro (IPR023267)|Interpro (IPR023545)|Interpro (IPR029063)|Pfam (PF01189)|Pfam (PF17125)|Pfam (PF13636);EMBL (CYUC01000042);
82;U00096.2:1920144-1920336(+);189;Uncharacterized protein YebW;98.44% [189/192];;;Uniprot (P76275)|Interpro (P76275);KEGG (eco:b1837)|KEGG GM (eco:b1837);Interpro (IPR009954)|Pfam (PF07358);NCBI (991979781)|EMBL (AP009048);
83;U00096.2:1924802-1926863(-);2058;Protease 2;99.85% [2058/2061];GO:0004252 - serine-type endopeptidase activity|GO:0005737 - cytoplasm|GO:0070008 - serine-type exopeptidase activity|GO:0070012 - oligopeptidase activity;;Uniprot (P24555)|Interpro (P24555);KEGG (eco:b1845)|KEGG GM (eco:b1845)|KEGG EC (3.4.21.83);Interpro (IPR029058)|Interpro (IPR002471)|Interpro (IPR023302)|Interpro (IPR001375)|Interpro (IPR002470)|Pfam (PF00326)|Pfam (PF02897);NCBI (991977275)|EMBL (AP009048);
84;U00096.2:1963066-1964215(-);1146;Flagellar biosynthetic protein FlhB;99.74% [1146/1149];GO:0005886 - plasma membrane|GO:0009306 - protein secretion|GO:0016021 - integral component of membrane|GO:0044780 - bacterial-type flagellum assembly;;Uniprot (D6HY26)|Interpro (D6HY26);;Interpro (IPR006136)|Interpro (IPR006135)|Interpro (IPR029025)|Pfam (PF01312);NCBI (291323097)|EMBL (GG749139);
85;U00096.2:1987274-1987514(-);237;Uncharacterized protein YecH;98.75% [237/240];;;Uniprot (P46887)|Interpro (P46887);KEGG (eco:b1906)|KEGG GM (eco:b1906);Interpro (IPR019620)|Pfam (PF10678);NCBI (991977335)|EMBL (AP009048);
86;U00096.2:2042961-2050038(+);7074;Uncharacterized protein YeeJ;99.96% [7074/7077];GO:0009279 - cell outer membrane|GO:0009405 - pathogenesis|GO:0030260 - entry into host cell|GO:0043708 - cell adhesion involved in biofilm formation;;Uniprot (P76347)|Interpro (P76347);KEGG (eco:b1978)|KEGG GM (eco:b1978);Interpro (IPR003344)|Interpro (IPR024519)|Interpro (IPR038177)|Interpro (IPR013783)|Interpro (IPR003535)|Interpro (IPR008964)|Interpro (IPR015217)|Interpro (IPR018392)|Interpro (IPR022409)|Pfam (PF02369)|Pfam (PF11924)|Pfam (PF09134);NCBI (991977395)|EMBL (AP009048);
87;U00096.2:2078812-2079286(-);471;DNA gyrase inhibitor;99.37% [471/474];GO:0005737 - cytoplasm|GO:0006974 - cellular response to DNA damage stimulus|GO:0008657 - DNA topoisomerase (ATP-hydrolyzing) inhibitor activity|GO:0019899 - enzyme binding|GO:2000104 - negative regulation of DNA-dependent DNA replication;;Uniprot (P33012)|Interpro (P33012);KEGG (eco:b2009)|KEGG GM (eco:b2009);Interpro (IPR010499)|Interpro (IPR024911)|Interpro (IPR029442)|Interpro (IPR011256)|Pfam (PF06445);NCBI (991977419)|EMBL (AP009048);
88;U00096.2:2176842-2178120(+);1275;Putative nucleoside transporter YegT;99.77% [1275/1278];GO:0005337 - nucleoside transmembrane transporter activity|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane;Unknown carbohydrate utilization ( cluster Yeg );Uniprot (P76417)|Interpro (P76417);KEGG (eco:b2098)|KEGG GM (eco:b2098);Interpro (IPR020846)|Interpro (IPR036259)|Interpro (IPR004740)|Pfam (PF03825);NCBI (991977502)|EMBL (AP009048);
89;U00096.2:2210980-2212666(-);1683;Sensor histidine kinase BtsS;99.82% [1683/1686];GO:0000155 - phosphorelay sensor kinase activity|GO:0005524 - ATP binding|GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane|GO:0071555 - cell wall organization;;Uniprot (P0AD15)|Interpro (P0AD15);KEGG (ecc:c2656)|KEGG GM (ecc:c2656)|KEGG EC (2.7.13.3);Interpro (IPR003018)|Interpro (IPR003594)|Interpro (IPR036890)|Interpro (IPR010559)|Interpro (IPR011620)|Pfam (PF07694)|Pfam (PF06580);NCBI (481024125)|EMBL (AE014075);
90;U00096.2:2237371-2238370(-);996;D-galactose-binding periplasmic protein;99.70% [996/999];GO:0006935 - chemotaxis|GO:0008643 - carbohydrate transport|GO:0042597 - periplasmic space|GO:0046872 - metal ion binding;Lactose and Galactose Uptake and Utilization|Bacterial Chemotaxis;Uniprot (P0AEE6)|Interpro (P0AEE6);KEGG (ecc:c2684)|KEGG GM (ecc:c2684);Interpro (IPR028082)|Interpro (IPR025997)|Pfam (PF13407);NCBI (446959708)|EMBL (AE014075);
91;U00096.2:2238649-2239690(-);1038;HTH-type transcriptional regulator GalS;99.71% [1038/1041];GO:0003677 - DNA binding|GO:0006355 - regulation of transcription DNA-templated;Lactose and Galactose Uptake and Utilization;Uniprot (P25748)|Interpro (P25748);KEGG (eco:b2151)|KEGG GM (eco:b2151);Interpro (IPR000843)|Interpro (IPR010982)|Interpro (IPR028082)|Pfam (PF00356);NCBI (991977551)|EMBL (AP009048);
92;U00096.2:2247738-2248788(+);1047;UPF0324 inner membrane protein YeiH;99.71% [1047/1050];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P62724)|Interpro (P62724);KEGG (ecs:ECs3050)|KEGG GM (ecs:ECs3050);Interpro (IPR004630)|Interpro (IPR018383)|Pfam (PF03601);NCBI (1233689626)|EMBL (BA000007);
93;U00096.2:2256376-2257318(-);939;Pseudouridine kinase;99.68% [939/942];GO:0005524 - ATP binding|GO:0019200 - carbohydrate kinase activity|GO:0050225 - pseudouridine kinase activity;Pseudouridine catabolism;Uniprot (P30235)|Interpro (P30235);KEGG (eco:b2166)|KEGG GM (eco:b2166)|KEGG EC (2.7.1.83);Interpro (IPR002173)|Interpro (IPR011611)|Interpro (IPR029056)|Pfam (PF00294);NCBI (991977567)|EMBL (M23196);
94;U00096.2:2264266-2265733(+);1464;Uncharacterized oxidoreductase YeiQ;99.80% [1464/1467];GO:0016491 - oxidoreductase activity|GO:0019594 - mannitol metabolic process|GO:0050662 - coenzyme binding;;Uniprot (P33029)|Interpro (P33029);KEGG (eco:b2172)|KEGG GM (eco:b2172);Interpro (IPR008927)|Interpro (IPR013328)|Interpro (IPR000669)|Interpro (IPR013118)|Interpro (IPR023027)|Interpro (IPR013131)|Interpro (IPR036291)|Pfam (PF01232)|Pfam (PF08125);NCBI (827622409)|EMBL (AP009048);
95;U00096.2:2288521-2289169(+);645;Nitrate/nitrite response regulator protein NarP;99.54% [645/648];GO:0000160 - phosphorelay signal transduction system|GO:0003677 - DNA binding|GO:0005524 - ATP binding|GO:0006355 - regulation of transcription DNA-templated|GO:0042128 - nitrate assimilation;Nitrate and nitrite ammonification;Uniprot (P31802)|Interpro (P31802);KEGG (eco:b2193)|KEGG GM (eco:b2193);Interpro (IPR011006)|Interpro (IPR016032)|Interpro (IPR001789)|Interpro (IPR000792)|Pfam (PF00196)|Pfam (PF00072);NCBI (991977590)|EMBL (AP009048);
96;U00096.2:2308500-2309556(-);1053;FAD:protein FMN transferase;99.72% [1053/1056];GO:0005886 - plasma membrane|GO:0016740 - transferase activity|GO:0017013 - protein flavinylation|GO:0046872 - metal ion binding;Na(+)-translocating NADH-quinone oxidoreductase and rnf-like group of electron transport complexes|Iron-sulfur cluster assembly;Uniprot (P0AB86)|Interpro (P0AB86);KEGG (ecs:ECs3103)|KEGG GM (ecs:ECs3103)|KEGG EC (2.7.1.180);Interpro (IPR024932)|Interpro (IPR003374)|Pfam (PF02424);NCBI (1233689682)|EMBL (BA000007);
97;U00096.2:2332977-2334666(-);1686;Uncharacterized protein YfaA;99.82% [1686/1689];GO:0005829 - cytosol;;Uniprot (P17994)|Interpro (P17994);KEGG (eco:b2230)|KEGG GM (eco:b2230);Interpro (IPR018671)|Pfam (PF09909);NCBI (991977627)|EMBL (Y00544);
98;U00096.2:2349037-2350396(-);1350;Glycerol-3-phosphate transporter;99.34% [1350/1359];GO:0005886 - plasma membrane|GO:0006071 - glycerol metabolic process|GO:0015169 - glycerol-3-phosphate transmembrane transporter activity|GO:0015315 - organophosphate:inorganic phosphate antiporter activity|GO:0015527 - glycerol-phosphate:inorganic phosphate antiporter activity|GO:0015793 - glycerol transport|GO:0015794 - glycerol-3-phosphate transmembrane transport|GO:0016021 - integral component of membrane;Glycerol and Glycerol-3-phosphate Uptake and Utilization;Uniprot (P08194)|Interpro (P08194);KEGG (eco:b2240)|KEGG GM (eco:b2240);Interpro (IPR005267)|Interpro (IPR011701)|Interpro (IPR020846)|Interpro (IPR036259)|Interpro (IPR021159)|Interpro (IPR000849)|Pfam (PF07690);NCBI (991977637)|EMBL (AP009048);
99;U00096.2:2350668-2352297(+);1626;Anaerobic glycerol-3-phosphate dehydrogenase subunit A;99.82% [1626/1629];GO:0005886 - plasma membrane|GO:0006072 - glycerol-3-phosphate metabolic process|GO:0009331 - glycerol-3-phosphate dehydrogenase complex|GO:0010181 - FMN binding|GO:0019563 - glycerol catabolic process|GO:0050660 - flavin adenine dinucleotide binding|GO:0052591 - sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity;;Uniprot (P0A9C1)|Interpro (P0A9C1);KEGG (ecs:ECs3126)|KEGG GM (ecs:ECs3126)|KEGG EC (1.1.5.3);Interpro (IPR007419)|Interpro (IPR041854)|Interpro (IPR006076)|Interpro (IPR036188)|Interpro (IPR000447)|Interpro (IPR017752)|Pfam (PF01266)|Pfam (PF04324);NCBI (1233689703)|EMBL (BA000007);
100;U00096.2:2377369-2378665(-);1290;Isochorismate synthase MenF;99.54% [1290/1296];GO:0000287 - magnesium ion binding|GO:0008909 - isochorismate synthase activity|GO:0009234 - menaquinone biosynthetic process;Menaquinone and Phylloquinone Biosynthesis;Uniprot (P38051)|Interpro (P38051);KEGG (eco:b2265)|KEGG GM (eco:b2265)|KEGG EC (5.4.4.2);Interpro (IPR005801)|Interpro (IPR015890)|Interpro (IPR004561)|Interpro (IPR034681)|Pfam (PF00425);NCBI (991977663)|EMBL (M21787);
101;U00096.2:2401972-2402635(-);660;NADH-quinone oxidoreductase subunit B;99.55% [660/663];GO:0005506 - iron ion binding|GO:0005886 - plasma membrane|GO:0008137 - NADH dehydrogenase (ubiquinone) activity|GO:0048038 - quinone binding|GO:0051539 - 4 iron 4 sulfur cluster binding;Respiratory Complex I;Uniprot (A7ZPA1)|Interpro (A7ZPA1);KEGG (ecw:EcE24377A_2580)|KEGG GM (ecw:EcE24377A_2580)|KEGG EC (7.1.1.2);Interpro (IPR006137)|Interpro (IPR006138)|Pfam (PF01058);NCBI (752463907)|EMBL (CP000800);
102;U00096.2:2439785-2441792(+);2004;tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC;99.85% [2004/2007];GO:0002097 - tRNA wobble base modification|GO:0004808 - tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity|GO:0005737 - cytoplasm|GO:0016645 - oxidoreductase activity acting on the CH-NH group of donors|GO:0050660 - flavin adenine dinucleotide binding;;Uniprot (A0A1X3JEQ1)|Interpro (A0A1X3JEQ1);;Interpro (IPR006076)|Interpro (IPR036188)|Interpro (IPR008471)|Interpro (IPR023032)|Interpro (IPR017610)|Pfam (PF01266)|Pfam (PF05430);NCBI (1185771783)|EMBL (ADJB01000070);
103;U00096.2:2474715-2475651(-);933;HTH-type transcriptional regulator DsdC;99.68% [933/936];GO:0003700 - DNA-binding transcription factor activity|GO:0006351 - transcription DNA-templated|GO:0043565 - sequence-specific DNA binding;CBSS-292415.3.peg.2341|Glycine and Serine Utilization;Uniprot (P46068)|Interpro (P46068);KEGG (eco:b2364)|KEGG GM (eco:b2364);Interpro (IPR011781)|Interpro (IPR005119)|Interpro (IPR000847)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF00126)|Pfam (PF03466);NCBI (991977759)|EMBL (X86379);
104;U00096.2:2493666-2494587(+);918;Lipid A biosynthesis palmitoleoyltransferase;99.67% [918/921];GO:0005887 - integral component of plasma membrane|GO:0008951 - palmitoleoyl|GO:0009103 - lipopolysaccharide biosynthetic process|GO:0009245 - lipid A biosynthetic process|GO:0009409 - response to cold|GO:0036104 - Kdo2-lipid A biosynthetic process;KDO2-Lipid A biosynthesis;Uniprot (P0ACV2)|Interpro (P0ACV2);KEGG (eco:b2378)|KEGG GM (eco:b2378)|KEGG EC (2.3.1.242);Interpro (IPR004960)|Interpro (IPR011920)|Interpro (IPR030857)|Pfam (PF03279);NCBI (991977773)|EMBL (AP009048);
105;U00096.2:2535363-2535738(+);372;Uncharacterized protein YfeK;99.20% [372/375];;;Uniprot (Q47702)|Interpro (Q47702);KEGG (eco:b2419)|KEGG GM (eco:b2419);Interpro (IPR035242)|Pfam (PF17263);NCBI (991977810)|EMBL (U53700);
106;U00096.2:2541853-2542645(-);789;Oxidoreductase UcpA;99.62% [789/792];GO:0016491 - oxidoreductase activity;;Uniprot (P37440)|Interpro (P37440);KEGG (eco:b2426)|KEGG GM (eco:b2426);Interpro (IPR036291)|Interpro (IPR002347);NCBI (991977817)|EMBL (M32101);
107;U00096.2:2561613-2561991(+);375;Uncharacterized protein YffQ;99.21% [375/378];;;Uniprot (P76548)|Interpro (P76548);KEGG (eco:b2448)|KEGG GM (eco:b2448);;NCBI (991977839)|EMBL (U00096);
